ID,FULLNAME,POS,AGE,GP,MPG,MINPER,USG,TOr,FTA,FTPER,2PA,2PPER,THRPA,THRPER,PPG,POINTS,RPG,APG,SPG,BPG,TOPG,TEAM,TRUE,Height,Weight,ORTG,DRTG
129,Devin Harris,PG,34,71,18.83239437,39.23415493,20.30704225,0.125338028,170,0.835117647,227,0.475484581,227,0.347955947,8.385915493,595.4,1.785915493,2.128169014,0.677746479,0.168591549,1.068169014,Den,56.29727685,75,185,107.2,99
130,Devin Robinson,PG,20,32,20.1,41.9,17,0.18,,,150,0.46,39,0.282,6.1,195.2,1.6,2.1,0.56,0.16,1.38,Mem,48.8,80,200,103.4,90.4
131,Dewayne Dedmon,C,28,62,24.9,51.8,17,0.143,86,0.779,336,0.595,141,0.355,10,620,7.9,1.5,0.65,0.82,1.39,Atl,60.21288167,84,245,111.8,99.6
132,Deyonta Davis,C,21,62,15.2,31.7,15.3,0.097,57,0.667,265,0.608,,,5.8,359.6,4,0.6,0.24,0.63,0.5,Mem,61.98290127,83,237,122.4,99.7
133,Dillon Brooks,SF,22,82,28.7,59.7,18.5,0.128,166,0.747,508,0.484,264,0.356,11,902,3.1,1.6,0.89,0.21,1.51,Mem,53.37025466,78,220,100.5,105.8
134,Dion Waiters,SG,26,30,30.6,63.7,25,0.137,69,0.739,240,0.463,170,0.306,14.3,429,2.6,3.8,0.77,0.3,2.33,Mia,48.71014624,76,215,94.7,105.5
135,Dirk Nowitzki,PF,39,77,24.7,51.4,20.5,0.06,108,0.898,421,0.494,337,0.409,12,924,5.7,1.6,0.56,0.58,0.66,Dal,57.35425564,84,245,112.5,102.8
136,Domantas Sabonis,PF,21,74,24.5,51,22.1,0.153,224,0.75,624,0.524,37,0.351,11.6,858.4,7.7,2,0.54,0.43,1.85,Ind,56.50639844,82,252,110.4,96.6
137,Donovan Mitchell,SG,21,79,33.4,69.6,29.1,0.126,297,0.805,812,0.502,550,0.34,20.5,1619.5,3.7,3.7,1.49,0.34,2.73,Uta,54.24806389,75,215,103.3,99.3
138,Dorian Finney-Smith,PG,23,54,12.7,26.4,17.1,0.138,,,168,0.476,56,0.25,4.1,221.4,1.8,1.9,0.56,0.19,0.7,Lal,46.75620882,80,220,96.2,103.3
139,Doug McDermott,SF,26,81,21.81358025,45.44495885,15.00987654,0.092814815,81,0.790259259,292,0.49639726,216,0.426134259,7.777777778,630,2.432098765,0.964197531,0.234567901,0.197530864,0.69382716,Dal,57.94275624,80,219,111.3,111
140,Dragan Bender,PF,20,82,25.2,52.6,12.7,0.181,51,0.765,162,0.426,322,0.366,6.5,533,4.4,1.6,0.27,0.65,1.37,Pho,52.62222573,85,225,95.6,108.5
141,Draymond Green,PF,27,70,32.7,68.1,17.2,0.225,173,0.775,363,0.562,256,0.301,11,770,7.6,7.3,1.34,1.3,2.89,Gol,55.38612038,79,230,110,101.4
142,Dwayne Bacon,PG,33,32,5.9,12.3,19.8,0.13,,,,,31,0.355,2.3,73.6,0.5,0.6,0.19,0,0.34,Min,49.83748646,79,221,87.9,104
143,Dwight Buycks,PG,28,29,14.7,30.7,26.4,0.153,41,0.878,153,0.438,45,0.333,7.4,214.6,1.4,2,0.66,0.07,1.34,Det,49.66672838,75,190,97.3,101.6
144,Dwight Howard,C,32,81,30.4,63.4,24.2,0.151,582,0.574,904,0.559,,,16.6,1344.6,12.5,1.3,0.59,1.62,2.57,Cha,57.60530555,83,265,108.2,97.2
145,Dwight Powell,C,26,79,21.2,44.1,15.5,0.103,185,0.719,346,0.656,84,0.333,8.5,671.5,5.6,1.2,0.85,0.41,0.75,Dal,65.65310911,83,240,129.8,98.5
146,Dwyane Wade,SG,36,67,22.91791045,47.74564677,26.27462687,0.15480597,189,0.713804233,571,0.467455342,111,0.288738739,11.45074627,767.2000001,3.743283582,3.374626866,0.906865672,0.703134328,2.090895522,Mia,50.13330546,76,220,102.5,105.7
147,Ed Davis,PF,28,78,18.9,39.3,12.2,0.162,111,0.667,291,0.584,,,5.3,413.4,7.4,0.5,0.41,0.67,0.85,Por,60.64429058,82,245,121.3,93
148,Edmond Sumner,SG,23,9,25.9,54,15.5,0.038,,,,,43,0.209,6.7,60.3,2.7,1.2,1,0.22,0.33,Dal,39.42207113,77,188,,
149,Ekpe Udoh,PF,30,63,12.9,26.8,9.1,0.121,56,0.75,119,0.504,,,2.6,163.8,2.4,0.8,0.68,1.17,0.32,Uta,56.62334071,82,245,126.5,92.9
150,Elfrid Payton,PG,23,63,28.72063492,59.83465608,21.89047619,0.184507937,168,0.649035714,575,0.52004,92,0.32598913,12.63809524,796.2000001,4.392063492,6.26984127,1.314285714,0.347936508,2.665396825,Pho,53.73049723,76,185,109.3,105.7
151,Emeka Okafor,F,31,1,34.5,71.9,13.9,0.092,,,,,,,8,8,3,1,0,0,1,Hou,40.48582996,82,255,116.8,101.9
152,Emmanuel Mudiay,PG,21,64,19.446875,40.51432292,24.421875,0.16284375,129,0.759767442,378,0.415671958,148,0.317986486,8.603125,550.6,2.3375,3.24375,0.6409375,0.175625,1.7615625,Nyk,47.24071659,77,200,99.5,108.6
153,Enes Kanter,C,25,71,25.8,53.7,21.9,0.133,184,0.848,711,0.594,,,14.1,1001.1,11,1.5,0.51,0.52,1.72,Nyk,63.04473777,83,245,122.1,99.8
154,Eric Bledsoe,PG,28,74,31.34189189,65.29560811,26.11351351,0.16072973,318,0.792691824,629,0.545449921,360,0.347519444,17.71486486,1310.9,3.835135135,5.014864865,2.011216216,0.564459459,2.917432432,Mil,58.05991566,73,205,93.8,110
155,Eric Gordon,SG,29,69,31.2,65,24.7,0.109,241,0.809,361,0.546,608,0.359,18,1242,2.4,2.2,0.65,0.38,1.9,Hou,57.76529245,76,215,109.6,105.9
156,Eric Moreland,PF,26,5,8.5,17.8,15.1,0.137,,,,,,,4.2,21,1.8,0,0.4,0,0.4,Orl,83.06962025,82,238,111.6,91.1
157,Erik McCree,PF,25,5,14.1,29.3,17.5,0.242,,,,,,,4,20,4.4,1.6,1,0.2,1.4,Pho,45.53734062,80,225,,
158,Ersan Ilyasova,PF,30,69,25.1,52.29166667,18.7,0.096333333,135,0.777666667,360,0.516233333,253,0.359656126,10.86666667,749.8000002,5.9,1.3,0.886666667,0.39,1.04,Phi,55.75550269,82,235,113.1,104.9
159,E'Twaun Moore,SG,28,82,31.5,65.7,16.1,0.106,68,0.706,531,0.556,301,0.425,12.5,1025,2.9,2.3,0.94,0.13,1.24,Nor,59.46027474,76,191,111.6,107
160,Evan Fournier,SG,25,57,32.2,67.1,23.3,0.098,173,0.867,467,0.516,335,0.379,17.8,1014.6,3.2,2.9,0.82,0.28,1.67,Orl,57.77114745,79,205,110.2,107.9
161,Evan Turner,SG,29,79,25.7,53.6,15.6,0.137,107,0.85,445,0.485,132,0.318,8.2,647.8,3.1,2.2,0.59,0.37,1.25,Por,51.90039738,79,220,102.9,102.7
162,Frank Kaminsky,C,24,79,23.2,48.4,20.5,0.076,194,0.799,442,0.459,274,0.38,11.1,876.9,3.6,1.6,0.46,0.25,0.84,Cha,54.7132375,84,242,110.6,106.3
163,Frank Mason,PG,23,52,18.9,39.4,22.6,0.131,115,0.817,294,0.384,86,0.36,7.9,410.8,2.5,2.8,0.65,0.19,1.25,Sac,47.70088249,71,190,100.2,108.1
164,Frank Ntilikina,PG,19,78,21.9,45.6,16.9,0.198,68,0.721,343,0.385,157,0.318,5.9,460.2,2.3,3.2,0.85,0.23,1.68,Nyk,43.42164855,77,190,89.2,104.2
165,Fred VanVleet,PG,23,76,20,41.7,19.1,0.112,101,0.832,284,0.437,261,0.414,8.6,653.6,2.4,3.2,0.89,0.25,0.97,Tor,55.44245385,72,195,115.5,101.2
166,Furkan Korkmaz,PF,22,20,11.2,23.4,15.6,0.049,,,,,58,0.31,4.1,82,1.9,0.6,0.1,0.1,0.2,Pho,52.29591837,79,190,86,94.5
167,Garrett Temple,SG,31,65,24.8,51.8,16.4,0.134,78,0.769,249,0.442,227,0.392,8.4,546,2.3,1.9,0.88,0.42,1.22,Sac,53.49584574,78,195,102.1,107.4
168,Gary Harris,SG,23,67,34.4,71.7,20.7,0.108,162,0.827,514,0.553,394,0.396,17.5,1172.5,2.6,2.9,1.82,0.22,1.78,Den,59.86541132,76,210,114.5,109.3
169,Gary Payton II,SF,24,25,4.2,8.7,12,0.071,,,,,,,1,25,0.7,0.1,0.12,0.04,0.08,Ind,48.07692308,75,190,97.2,97.3
170,George Hill,PG,31,67,27.06567164,56.38681592,16.36268657,0.132835821,140,0.785907143,308,0.490357143,205,0.414687805,9.97761194,668.5,2.664179104,2.8,0.927910448,0.387462687,1.31761194,Cle,58.17090149,75,188,113.7,109.6
171,Georges Niang,F,25,14,3.8,7.9,15.9,0.155,,,,,,,1.5,21,0.5,0.1,0.07,0.07,0.21,Tor,64.33823529,78,231,,
172,Georgios Papagiannis,G,32,2,32.1,66.8,14.1,0.141,,,,,,,12,24,3,3.5,1.5,1.5,1.5,Lal,65.50218341,85,240,88.6,102.8
173,Gerald Green,SG,32,41,22.7,47.2,22.3,0.066,60,0.85,115,0.504,298,0.369,12.1,496.1,3.2,0.6,0.59,0.37,0.76,Hou,56.45197997,79,205,109.1,99.9
174,Gian Clavell,C,33,23,9.4,19.6,8.8,0.423,,,,,,,1.6,36.8,3.4,0.7,0.17,0.57,0.83,Lal,71.09737249,76,185,102.6,99.9
175,Giannis Antetokounmpo,PF,23,75,36.8,76.6,31.2,0.117,641,0.76,1262,0.554,140,0.307,26.9,2017.5,10,4.8,1.45,1.41,2.97,Mil,59.90059619,83,222,116.6,102.3
176,Glenn Robinson III,SF,24,15,13.9,29,17.3,0.097,,,,,49,0.367,4.6,69,2.3,0.4,0.2,0.07,0.53,Atl,46.14767255,79,215,114.3,109
177,Goran Dragic,PG,31,75,31.7,66,25.7,0.122,271,0.801,775,0.481,300,0.37,17.3,1297.5,4.1,4.8,0.84,0.16,2.21,Mia,54.32325161,75,190,108.3,103.5
178,Gordon Hayward,SF,25,1,3.7,7.7,12,0,,,,,,,3,3,0,1,0,0,0,Min,150,80,226,99.3,87.3
179,Gorgui Dieng,PF,28,79,16.9,35.1,16.3,0.12,102,0.775,327,0.511,61,0.311,5.9,466.1,4.6,0.9,0.57,0.49,0.75,Min,53.83709111,83,251,111.8,100.5
180,Greg Monroe,C,27,51,20.43333333,42.56944444,22.70588235,0.177588235,119,0.739470588,386,0.564702073,,,10.29803922,525.2000002,6.839215686,2.250980392,0.864313725,0.469411765,1.860392157,Bos,59.90510086,83,265,94.1,103.7
181,Guerschon Yabusele,SG,23,17,7.188235294,14.9754902,10.84705882,0.177705882,,,,,,,1.388235294,23.6,0.847058824,0.152941176,0.410588235,0.295882353,0.408823529,Atl,49.91539763,80,260,111.6,97.5
182,Harrison Barnes,SF,25,77,34.2,71.3,25.2,0.081,313,0.827,874,0.478,333,0.357,18.9,1455.3,6.1,2,0.64,0.18,1.53,Dal,54.11163662,80,225,105.7,109.6
183,Hassan Whiteside,C,28,54,25.3,52.6,24.7,0.123,182,0.703,576,0.538,,,14,756,11.4,1,0.69,1.74,1.7,Mia,57.43982495,84,265,111.8,94.7
184,Henry Ellenson,PF,22,2,4.7,9.7,0,,,,,,,,0,0,0.5,0.5,0,0,0,Ind,#DIV/0!,83,245,95.4,102.2
185,Ian Clark,SG,26,74,19.7,40.9,17.2,0.099,59,0.763,300,0.533,195,0.318,7.4,547.6,1.7,1.5,0.45,0.14,0.77,Nor,52.55681818,75,175,101.8,105.9
186,Ian Mahinmi,C,31,77,14.9,31,15.6,0.247,128,0.703,246,0.561,,,4.8,369.6,4.1,0.7,0.49,0.55,1.3,Was,60.72555205,83,262,106.9,89.5
187,Ike Anigbogu,PG,33,20,5.7,12,26.1,0.133,,,,,40,0.275,2.5,50,0.4,0.6,0.2,0,0.45,Hou,42.45923913,82,262,,
188,Iman Shumpert,PG,28,14,14.7,30.5,20.8,0.191,,,,,33,0.273,5.2,72.8,2.2,3.1,0.43,0.29,1.29,Mil,47.64397906,77,220,89.7,106.3
189,Isaiah Canaan,SG,26,20,21.1,43.95833333,18.6,0.14725,51,0.902,71,0.422957746,66,0.333,8.645,172.9,2.235,3.8,0.798,0.0475,1.4535,Pho,54.22102358,72,201,0,108.5
190,Isaiah Hicks,PG,25,18,13.18333333,27.46527778,11.63888889,0.234944444,,,,,,,2.777777778,50,1.955555556,1.222222222,1.000555556,0.277222222,0.834444444,Hou,52.74261604,81,242,95.1,95.2
191,Isaiah Taylor,PG,23,67,17.4,36.3,20.1,0.157,141,0.702,310,0.461,80,0.25,6.6,442.2,1.4,3.1,0.51,0.15,1.25,Atl,48.91160074,75,170,101.3,105.6
192,Isaiah Thomas,PG,28,32,26.940625,56.12630208,28.79375,0.165625,131,0.89348855,233,0.438184549,188,0.292755319,15.178125,485.7,2.1,4.765625,0.4671875,0.0928125,2.9690625,Lal,50.73750627,69,185,98,110.6
193,Isaiah Whitehead,F,23,18,5.5,11.45833333,21.45,0.141,,,,,,,2.4,43.2,1.7,0.1,0.5,0.33,0.275,Mem,48.86877828,76,213,90.5,100
194,Ish Smith,PG,29,82,24.9,51.9,20.8,0.112,116,0.698,700,0.506,101,0.347,10.9,893.8,2.7,4.4,0.78,0.24,1.32,Det,52.45058917,72,175,109.3,104.2
195,Ivan Rabb,PF,20,36,14.3,29.8,17.7,0.173,36,0.806,152,0.566,,,5.6,201.6,4.4,0.9,0.33,0.36,0.97,Mem,60.05719733,82,220,112.5,101.8
196,Ivica Zubac,C,20,43,9.5,19.9,17.6,0.153,51,0.765,121,0.504,,,3.7,159.1,2.8,0.6,0.19,0.35,0.6,Lal,55.07477153,85,240,111.1,98.9
197,J.J. Barea,PG,33,69,23.2,48.4,24.9,0.163,102,0.784,377,0.499,313,0.367,11.6,800.4,2.9,6.3,0.51,0.04,2.07,Dal,54.45787067,72,185,109.1,108.5
198,Jabari Bird,SF,22,12,8.9,18.54166667,15.6,0.093333333,,,,,,,2.166666667,26,1.833333333,0.333333333,0.25,0.333333333,0.333333333,Sac,38.64447087,78,198,107.7,102
199,Jabari Parker,SF,22,31,24,49.9,24.4,0.112,54,0.741,251,0.514,81,0.383,12.6,390.6,4.8,1.9,0.81,0.32,1.45,Mil,54.89655948,80,250,106.4,106.7
200,Jack Cooley,SG,23,13,2.9,6.1,18,0.063,,,,,,,0.5,6.5,0.2,0.1,0.08,0,0.08,Nor,21.84139785,82,274,126,98.3
201,Jacob Pullen,PF,21,1,21.6,45,16.3,0.375,,,,,,,4,4,4,1,0,0,3,Hou,40,73,200,,
202,Jacob Wiley,PF,25,1,1.3,2.7,33.8,0,,,,,,,0,0,1,0,0,0,0,Gol,0,80,223,119.4,97.7
203,Jae Crowder,SF,27,80,26.1425,54.46354167,17.1925,0.0916625,148,0.81772973,330,0.488066667,341,0.322651026,9.68,774.4,3.46875,1.235,0.797,0.26375,0.925,Uta,52.60011955,78,235,109.2,105.7
204,Jahlil Okafor,PF,22,19,4.7,9.8,24.7,0.04,,,,,,,2.4,45.6,1.3,0.2,0,0.26,0.11,Was,47.34219269,83,260,88.9,79.6
205,JaKarr Sampson,C,29,21,2.3,4.8,16.9,0.054,,,,,,,0.6,12.6,0.7,0.1,0.1,0.05,0.05,Min,35.71428571,81,207,117.7,98.9
206,Jake Layman,PF,21,22,3.2,6.7,13.3,0.192,,,,,,,1,22,0.5,0.1,0.14,0.05,0.18,Mil,65.16587678,81,210,81.5,102.5
207,Jakob Poeltl,C,22,82,18.6,38.7,14.8,0.166,101,0.594,382,0.66,,,6.9,565.8,4.8,0.7,0.48,1.22,1.04,Tor,66.03024928,84,230,122.6,95
208,Jalen Jones,C,22,31,5.2,10.8,13.5,0.059,,,,,,,1.8,55.8,1.1,0.3,0.19,0.26,0.1,Okc,58.36820084,79,220,110.5,102.8
209,Jamal Crawford,SG,37,80,20.7,43.1,23.7,0.107,113,0.903,428,0.477,314,0.331,10.3,824,1.2,2.3,0.5,0.11,1.19,Min,52.0385995,77,185,104.1,111.6
210,Jamal Murray,SG,20,81,31.7,66,22.8,0.127,253,0.905,626,0.502,436,0.378,16.7,1352.7,3.7,3.4,0.98,0.35,2.11,Den,57.64412096,76,207,112.5,108.3
211,Jameel Warney,C,22,15,5.9,12.3,14,0.142,,,,,,,1.7,25.5,0.9,0.1,0.07,0.2,0.27,Gol,52.68595041,80,260,119.5,105.4
212,Jameer Nelson,SG,38,19,8,16.7,13.4,0.109,,,,,,,1.7,32.3,0.8,0.5,0.11,0.05,0.26,Ind,39.62217861,72,190,103.6,106.1
213,Jamel Artis,SG,22,6,4.6,9.6,20.1,0.154,,,,,,,2,12,0.8,1.3,0.17,0,0.33,Okc,54.54545455,79,213,94.1,111.8
214,James Ennis III,SF,27,72,22.275,46.40625,13.8125,0.115,116,0.836224138,231,0.567012987,153,0.333098039,7.125,513,3.125,0.9875,0.65375,0.25125,0.77625,Det,58.96009562,79,210,118.7,108.2
215,James Harden,PG,28,72,35.4,73.8,36,0.151,727,0.858,727,0.531,722,0.367,30.4,2188.8,5.4,8.8,1.76,0.69,4.38,Hou,61.86965764,77,220,120.6,101.1
216,James Johnson,PF,30,73,26.6,55.5,19.1,0.172,162,0.698,429,0.587,185,0.308,10.8,788.4,4.9,3.8,0.96,0.71,1.95,Mia,57.52393182,80,240,109.6,98.8
217,James Michael McAdoo,PF,29,19,7.4,15.4,19.6,0.237,,,,,,,2.8,53.2,0.8,0.5,0.42,0.16,0.79,Den,55.04966887,81,230,94.1,106.4
218,James Webb III,SG,24,14,6.8,14.2,12.2,0.153,,,,,,,1.1,15.4,0.5,0.8,0.14,0,0.29,San,34.87318841,81,202,81,106.7
219,James Young,G,26,3,3.1,6.5,27.9,0.174,,,,,,,3.3,9.9,0,0,0,0,0.33,Uta,103.9915966,78,215,105.7,107.7
220,Jamil Wilson,SG,22,21,11.5,24,16,0.11,,,,,38,0.289,3,63,1.9,0.6,0.48,0.1,0.48,Pho,38.75492126,79,229,117.9,101.9
221,JaMychal Green,PF,27,55,28,58.4,17.8,0.124,111,0.721,361,0.499,127,0.339,10.3,566.5,8.4,1.4,0.58,0.45,1.38,Mem,52.76246181,81,227,107.7,102.8
222,Jared Dudley,PF,32,48,14.3,29.8,10.2,0.169,35,0.771,,,80,0.363,3.2,153.6,1.9,1.6,0.52,0.21,0.58,Pho,55.89519651,79,240,110.5,103.2
223,Jarell Eddie,PG,23,15,5.32,11.08333333,16.48,0.3676,,,,,,,1.1,16.5,0.78,0.58,0.33,0.064,0.73,Phi,43.6970339,79,218,,
224,Jarell Martin,PF,23,73,22.8,47.4,17.1,0.136,116,0.767,398,0.47,98,0.347,7.7,562.1,4.4,1,0.53,0.68,1.18,Mem,51.37649898,82,239,101,101.5
225,Jarrett Allen,C,19,72,20,41.7,16.3,0.151,147,0.776,382,0.599,,,8.2,590.4,5.4,0.7,0.39,1.22,1.14,Bro,63.94039161,83,234,119.1,102.9
226,Jarrett Jack,PG,34,62,25,52,16.7,0.195,75,0.84,357,0.459,86,0.291,7.5,465,3.1,5.6,0.56,0.06,1.85,Nyk,48.84453782,75,200,102.9,109.3
227,Jason Smith,SF,20,20,12.29,25.60416667,12.25,0.1058,,,,,,,3.04,60.8,1.89,0.43,0.198,0.649,0.352,Mia,47.82882316,84,240,93.4,97
228,Jason Terry,PG,22,16,9.2,19.2,9,0.067,,,,,,,1.8,28.8,1,1,0.44,0.19,0.13,Mia,52.0984081,74,185,102.8,108.7
229,JaVale McGee,C,30,65,9.5,19.7,19.2,0.1,52,0.731,213,0.638,,,4.8,312,2.6,0.5,0.32,0.88,0.42,Gol,64.49479081,84,270,124.9,95
230,Jawun Evans,PG,21,48,16.2,33.8,17.7,0.138,49,0.776,199,0.372,54,0.278,4.8,230.4,1.8,2.1,0.75,0.13,0.92,Lac,41.95804196,72,190,90.5,100.6
231,Jaylen Brown,SF,21,70,30.7,64,21.4,0.12,233,0.644,497,0.507,306,0.395,14.5,1015,5,1.6,1,0.37,1.77,Bos,56.04514533,79,225,105,98.6
232,Jaylen Morris,PG,23,17,8.2,17,15.4,0.126,,,,,,,3.2,54.4,1.5,0.5,0.24,0.18,0.35,San,65.07177033,77,185,85.1,112.6
233,Jayson Tatum,SF,19,80,30.5,63.6,19.4,0.108,258,0.826,593,0.492,242,0.434,13.9,1112,5,1.6,1.04,0.73,1.44,Bos,58.6176359,80,205,111.4,99.7
234,Jeff Green,SF,31,78,23.4,48.8,19.3,0.094,234,0.868,448,0.54,170,0.312,10.8,842.4,3.2,1.3,0.53,0.44,0.96,Cle,58.42210386,81,235,115.7,107.3
235,Jeff Teague,PG,29,70,33,68.8,20.6,0.164,239,0.845,566,0.477,228,0.368,14.2,994,3,7,1.46,0.33,2.53,Min,55.27381111,74,189,111.2,107
236,Jeff Withey,SF,26,2,4.3,8.9,20,0,,,,,,,1,2,0.5,0,0,0,0,Lal,25,84,230,80.5,103.9
237,Jerami Grant,SF,23,81,20.3,42.4,16,0.088,240,0.675,346,0.613,110,0.291,8.4,680.4,3.9,0.7,0.38,0.95,0.67,Okc,60.57692308,81,220,122.1,101.5
238,Jeremy Evans,SF,22,1,13.2,27.5,10,0,,,,,,,2,2,5,0,1,0,0,Was,33.33333333,81,200,97.3,99.7
239,Jeremy Lamb,SG,25,80,24.6,51.2,22.4,0.091,208,0.861,578,0.495,254,0.37,12.9,1032,4.1,2.3,0.76,0.4,1.16,Cha,55.87318087,77,185,111.9,103.5
240,Jeremy Lin,PG,22,1,2.2,4.6,20.3,0,,,,,,,2,2,1,0,0,0,0,Ind,100,75,200,110.7,107
241,Jerian Grant,PG,25,74,22.8,47.5,17.4,0.132,188,0.745,316,0.468,187,0.326,8.4,621.6,2.3,4.6,0.85,0.11,1.2,Chi,53.06289695,76,198,112.6,106.8
242,Jerryd Bayless,PG,29,39,23.7,49.4,15.1,0.141,44,0.795,116,0.474,146,0.37,7.9,308.1,2.1,1.4,0.59,0.15,1.18,Phi,54.75191925,75,200,102,101.5
243,Jimmy Butler,SF,28,59,36.7,76.4,24.9,0.089,425,0.854,721,0.509,200,0.35,22.2,1309.8,5.3,4.9,1.97,0.41,1.83,Min,59.10649819,80,236,122.1,109.7
244,JJ Redick,SG,33,70,30.2,63,21.7,0.096,218,0.904,419,0.504,460,0.42,17.1,1197,2.6,3,0.5,0.09,1.47,Phi,61.38965248,76,200,118.9,106.1
245,Joakim Noah,SF,24,4,1.9,3.9,18,0.333,,,,,,,0,0,0.3,0,0.25,0,0.25,Uta,0,83,230,99.9,97.6
246,Jodie Meeks,SG,30,77,14.5,30.3,19,0.077,117,0.863,183,0.464,210,0.343,6.3,485.1,1.6,0.9,0.38,0.05,0.48,Was,54.56938445,76,210,110.7,108.7
247,Joe Harris,SG,26,78,25.3,52.7,16.6,0.12,104,0.827,263,0.589,358,0.419,10.8,842.4,3.3,1.6,0.44,0.26,1.17,Bro,63.17115604,78,219,116.4,107.5
248,Joe Ingles,SF,30,82,31.4,65.5,15.9,0.174,83,0.795,254,0.516,464,0.44,11.5,943,4.2,4.8,1.1,0.24,1.94,Uta,62.49005991,80,226,115.8,100.4
249,Joe Johnson,SF,36,55,21.9,45.625,15.90363636,0.114327273,45,0.888533333,215,0.49307907,145,0.276103448,6.756363636,371.6,3.090909091,1.525454545,0.329818182,0.127272727,0.890545455,Hou,48.92048446,79,240,96.6,103.9
250,Joe Young,SG,20,14,5.7,11.9,17,0.063,,,,,,,1.6,22.4,0.8,0.3,0.14,0.07,0.14,Phi,37.6344086,74,185,102.3,106.2
251,Joel Bolomboy,PG,25,23,9.613043478,20.02717391,16.66521739,0.081913043,,,,,,,2.97826087,68.50000001,1.926086957,0.943478261,0.302608696,0.127826087,0.302608696,Lal,43.93278605,81,235,110.7,105.4
252,Joel Embiid,C,23,63,30.3,63.2,33.4,0.156,467,0.769,842,0.527,214,0.308,22.9,1442.7,10.9,3.2,0.63,1.78,3.71,Phi,57.18283286,84,250,106.2,94.1
253,Joffrey Lauvergne,C,26,55,9.7,20.2,20.4,0.135,47,0.638,185,0.53,,,4.1,225.5,3.1,0.7,0.16,0.05,0.6,San,53.51718246,83,260,109.1,98.3
254,John Collins,PF,20,74,24.1,50.2,17.9,0.143,186,0.715,498,0.598,47,0.34,10.5,777,7.3,1.3,0.64,1.08,1.42,Atl,61.97753813,82,235,117.7,99.2
255,John Henson,C,27,76,25.9,54,15,0.128,158,0.57,495,0.578,,,8.8,668.8,6.8,1.5,0.59,1.43,1.11,Mil,58.5106383,83,229,115.7,102.2
256,John Holland,PF,24,9,3.5,7.3,21.1,0.202,,,,,,,1,9,1,0.3,0.22,0,0.33,Uta,37.87878788,77,205,84.6,108.9
257,John Wall,PG,27,41,34.4,71.6,29.1,0.17,241,0.726,500,0.436,167,0.371,19.4,795.4,3.7,9.6,1.39,1.1,3.85,Was,51.44623823,76,210,104.8,107.1
258,Johnathan Motley,C,20,17,7.182352941,14.96323529,18.3,0.153411765,,,,,,,2.094117647,35.6,2.223529412,0.564705882,0.24,0.357647059,0.470588235,Por,42.38095238,82,230,106.5,100.7
259,Johnny O'Bryant III,SG,24,7,9.1,18.9,15,0.096,,,,,,,2.9,20.3,1,0.4,0.29,0,0.29,Dal,53.76059322,81,257,99,98.4
260,Jon Leuer,SF,27,1,5.3,11,16.9,0,,,,,,,2,2,1,0,0,0,0,Bos,50,82,228,100.2,97.9
261,Jonas Jerebko,PF,30,74,15.3,31.9,15.6,0.069,57,0.807,184,0.511,157,0.414,5.8,429.2,3.3,0.6,0.32,0.16,0.36,Uta,58.62106643,82,231,118.3,95.3
262,Jonas Valanciunas,C,25,77,22.4,46.7,22.7,0.127,211,0.806,614,0.586,74,0.405,12.7,977.9,8.6,1.1,0.38,0.9,1.48,Tor,62.61846217,84,255,120,95.1
